sample_accession,Unnamed: 0,study_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,instrument_platform,instrument_model,library_layout,library_strategy,library_source,library_selection,read_count,base_count,fastq_ftp,sra_ftp,class_name,superkingdom_name,phylum_name,sample_read_count
SAMEA4774291,893885,PRJEB4769,ERS2594243,ERX3525427,ERR3504213,6239,Caenorhabditis elegans,ILLUMINA,HiSeq X Ten,PAIRED,WGS,GENOMIC,RANDOM,34880702.0,5266986002.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3504213/ERR3504213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/003/ERR3504213/ERR3504213_2.fastq.gz;,,Chromadorea,Eukaryota,Nematoda,34880702.0
SAMEA4064425,599399,PRJEB4769,ERS1235535,ERX2665829,ERR2649339,6239,Caenorhabditis elegans,ILLUMINA,HiSeq X Ten,PAIRED,WGS,GENOMIC,RANDOM,25424742.0,3839136042.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR264/009/ERR2649339/ERR2649339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR264/009/ERR2649339/ERR2649339_2.fastq.gz;,,Chromadorea,Eukaryota,Nematoda,25424742.0
SAMEA3726019,635068,PRJEB4769,ERS1033168,ERX2748878,ERR2735793,6239,Caenorhabditis elegans,ILLUMINA,HiSeq X Ten,PAIRED,WGS,GENOMIC,RANDOM,29244512.0,4415921312.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/003/ERR2735793/ERR2735793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/003/ERR2735793/ERR2735793_2.fastq.gz;,,Chromadorea,Eukaryota,Nematoda,29244512.0
#SAMEA3319548,58860,PRJEB8885,ERS695029,ERX1087835,ERR1008811,10090,Mus musculus,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,GENOMIC,RANDOM,70777188.0,8847148500.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/001/ERR1008811/ERR1008811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/001/ERR1008811/ERR1008811_2.fastq.gz;,,Mammalia,Eukaryota,Chordata,70777188.0
#SAMEA104703328,773817,PRJEB6921,ERS2304711,ERX3245294,ERR3217767,10090,Mus musculus,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,GENOMIC,RANDOM,78322814.0,5874211050.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3217767/ERR3217767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/007/ERR3217767/ERR3217767_2.fastq.gz;,,Mammalia,Eukaryota,Chordata,78322814.0
#SAMEA3303753,1216208,PRJEB8871,ERS682578,ERX1034149,ERR956826,10090,Mus musculus,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,GENOMIC,RANDOM,6780694.0,847586750.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR956/ERR956826/ERR956826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR956/ERR956826/ERR956826_2.fastq.gz;,,Mammalia,Eukaryota,Chordata,33047568.0
SAMN10520155,3855628,PRJNA388788,SRS4248856,SRX5246583,SRR8439125,7227,Drosophila melanogaster,ILLUMINA,HiSeq X Ten,PAIRED,WGS,GENOMIC,RANDOM,45260835.0,13578250500.0,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/005/SRR8439125/SRR8439125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/005/SRR8439125/SRR8439125_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR843/005/SRR8439125,Insecta,Eukaryota,Arthropoda,45260835.0
SAMN10537738,3880778,PRJNA388788,SRS4298017,SRX5299008,SRR8494459,7227,Drosophila melanogaster,ILLUMINA,HiSeq X Ten,PAIRED,WGS,GENOMIC,RANDOM,50593468.0,15279227336.0,ftp.sra.ebi.ac.uk/vol1/fastq/SRR849/009/SRR8494459/SRR8494459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR849/009/SRR8494459/SRR8494459_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR849/009/SRR8494459,Insecta,Eukaryota,Arthropoda,50593468.0
SAMEA3176945,1160667,PRJEB8027,ERS629877,ERX650247,ERR705989,7227,Drosophila melanogaster,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,GENOMIC,RANDOM,22077514.0,3973952520.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR705/ERR705989/ERR705989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR705/ERR705989/ERR705989_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR705/ERR705989,Insecta,Eukaryota,Arthropoda,44186648.0
SAMEA3894957,161057,PRJEB13017,ERS1082091,ERX1380216,ERR1309064,4932,Saccharomyces cerevisiae,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,GENOMIC,RANDOM,22032328.0,4388533035.0,ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/004/ERR1309064/ERR1309064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/004/ERR1309064/ERR1309064_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR130/004/ERR1309064,Saccharomycetes,Eukaryota,Ascomycota,22032328.0
