sample_accession,library_source,toplevel_rank,tax_id,study_accession,run_accession,secondary_sample_accession,experiment_accession,scientific_name,instrument_platform,instrument_model,library_layout,library_strategy,library_selection,read_count,base_count,fastq_ftp,sra_ftp,class_id,class_name,fastq_filename
SAMD00013667,GENOMIC,Eukaryota,6239,PRJDB2670,DRR008445,DRS007575,DRX007634,Caenorhabditis elegans,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,RANDOM,69477252.0,13895450400.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR008/DRR008445/DRR008445_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR008/DRR008445,119089,Chromadorea,DRR008445_1.fastq.gz
SAMD00013667,GENOMIC,Eukaryota,6239,PRJDB2670,DRR008445,DRS007575,DRX007634,Caenorhabditis elegans,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,RANDOM,69477252.0,13895450400.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR008/DRR008445/DRR008445_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR008/DRR008445,119089,Chromadorea,DRR008445_2.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030768,DRS107612,DRX027778,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,219720858.0,65916257400.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030768/DRR030768_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030768,,Unclassified,DRR030768_1.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030768,DRS107612,DRX027778,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,219720858.0,65916257400.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030768/DRR030768_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030768,,Unclassified,DRR030768_2.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030769,DRS107612,DRX027779,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,235877773.0,70763331900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030769/DRR030769_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030769,,Unclassified,DRR030769_1.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030769,DRS107612,DRX027779,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,235877773.0,70763331900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030769/DRR030769_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030769,,Unclassified,DRR030769_2.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030770,DRS107612,DRX027780,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,150861863.0,45258558900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030770/DRR030770_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030770,,Unclassified,DRR030770_1.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030770,DRS107612,DRX027780,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,150861863.0,45258558900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030770/DRR030770_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030770,,Unclassified,DRR030770_2.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030771,DRS107612,DRX027781,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,176094153.0,52828245900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030771/DRR030771_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030771,,Unclassified,DRR030771_1.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030771,DRS107612,DRX027781,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,176094153.0,52828245900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030771/DRR030771_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030771,,Unclassified,DRR030771_2.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030772,DRS107612,DRX027782,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,166021695.0,49806508500.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030772/DRR030772_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030772,,Unclassified,DRR030772_1.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030772,DRS107612,DRX027782,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,166021695.0,49806508500.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030772/DRR030772_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030772,,Unclassified,DRR030772_2.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030773,DRS107612,DRX027783,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,167022423.0,50106726900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030773/DRR030773_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030773,,Unclassified,DRR030773_1.fastq.gz
SAMD00026528,GENOMIC,Eukaryota,1928728,PRJDB3528,DRR030773,DRS107612,DRX027783,Paulinella micropora,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,RANDOM,167022423.0,50106726900.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR030/DRR030773/DRR030773_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR030/DRR030773,,Unclassified,DRR030773_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033688,DRS043412,DRX030408,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,109589641.0,22107544470.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033688/DRR033688_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033688,3398,Magnoliopsida,DRR033688_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033688,DRS043412,DRX030408,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,109589641.0,22107544470.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033688/DRR033688_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033688,3398,Magnoliopsida,DRR033688_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033689,DRS043412,DRX030409,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,57901717.0,11571059550.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033689/DRR033689_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033689,3398,Magnoliopsida,DRR033689_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033689,DRS043412,DRX030409,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,57901717.0,11571059550.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033689/DRR033689_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033689,3398,Magnoliopsida,DRR033689_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033690,DRS043412,DRX030410,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,80130771.0,24031471671.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033690/DRR033690_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033690,3398,Magnoliopsida,DRR033690_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033690,DRS043412,DRX030410,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,80130771.0,24031471671.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033690/DRR033690_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033690,3398,Magnoliopsida,DRR033690_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033691,DRS043412,DRX030411,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,47554393.0,14259447662.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033691/DRR033691_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033691,3398,Magnoliopsida,DRR033691_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033691,DRS043412,DRX030411,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2500,PAIRED,WGS,size fractionation,47554393.0,14259447662.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033691/DRR033691_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033691,3398,Magnoliopsida,DRR033691_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033692,DRS043412,DRX030412,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,103693370.0,20912903470.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033692/DRR033692_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033692,3398,Magnoliopsida,DRR033692_1.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033692,DRS043412,DRX030412,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,103693370.0,20912903470.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033692/DRR033692_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033692,3398,Magnoliopsida,DRR033692_2.fastq.gz
SAMD00029051,GENOMIC,Eukaryota,374723,PRJDB3858,DRR033693,DRS043412,DRX030413,Phtheirospermum japonicum,ILLUMINA,Illumina HiSeq 2000,PAIRED,WGS,size fractionation,97073008.0,9704870011.0,ftp.sra.ebi.ac.uk/vol1/fastq/DRR033/DRR033693/DRR033693_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/drr/DRR033/DRR033693,3398,Magnoliopsida,DRR033693_1.fastq.gz
